股票名称,代码,类型,评分,买入日期,卖出日期,买入价,收益%,退出方式,持有天数
雄韬股份,002733,非科技,77.2,2026-03-06,2026-03-09,24.69,-4.5%,排名置换,3
高澜股份,300499,科技,87.8,2026-03-02,2026-03-03,38.90,-5.1%,排名置换,1
金逸影视,002905,非科技,74.3,2026-02-06,2026-02-06,13.97,-5.2%,排名置换,1
浙江仙通,603239,非科技,96.8,2026-04-02,2026-04-15,25.52,-5.8%,5天收盘不足5%退出,13
科瑞技术,002957,科技,94.7,2026-02-05,2026-02-05,28.00,-6.6%,排名置换,1
飞龙股份,002536,非科技,78.8,2026-03-06,2026-03-09,37.09,-6.6%,排名置换,3
獐子岛,002069,非科技,82.8,2025-11-20,2025-11-27,4.50,-8.0%,止损,7
湘潭电化,002125,非科技,92.3,2025-11-10,2025-11-21,15.59,-8.0%,止损,11
瑞达期货,002961,非科技,97.3,2025-12-15,2026-01-13,27.81,-8.0%,止损,29
永信至诚,688244,科技,97.6,2025-12-02,2025-12-17,23.90,-8.0%,止损,15
好利科技,002729,科技,96.2,2026-03-13,2026-03-23,19.38,-8.0%,止损,10
凯撒旅业,000796,非科技,91.7,2025-11-11,2025-11-24,7.56,-8.0%,止损,13
星宇股份,601799,非科技,105.2,2026-02-05,2026-03-16,146.76,-8.0%,止损,39
韶能股份,000601,非科技,72.6,2026-03-23,2026-03-23,8.05,-8.9%,排名置换,1
